관측소명 : 부산
관측개시일 : 1956년01월01일
관측소주소 : 부산광역시 중구 남포동 1가
위도 : 북위 35도  5분 47초
경도 : 동경 129도  2분  7초
순번	관측시간		수온(℃)	염분(PSU)	
2727	2020/04/09 08:00	13.9	34.5	
2728	2020/04/09 07:00	13.9	34.44	
2729	2020/04/09 06:00	13.9	34.48	
2730	2020/04/09 05:00	13.9	34.5	
2731	2020/04/09 04:00	13.95	34.45	
2732	2020/04/09 03:00	13.9	34.47	
2733	2020/04/09 02:00	13.81	34.49	
2734	2020/04/09 01:00	13.8	34.5	
2735	2020/04/09 00:00	13.89	34.43	
2736	2020/04/08 23:00	13.91	34.52	
2737	2020/04/08 22:00	14.07	34.48	
2738	2020/04/08 21:00	14.2	34.42	
2739	2020/04/08 20:00	14.2	34.44	
2740	2020/04/08 19:00	14.2	34.48	
2741	2020/04/08 18:00	14.2	34.42	
2742	2020/04/08 17:00	14.13	34.48	
2743	2020/04/08 16:00	14.1	34.51	
2744	2020/04/08 15:00	14.1	34.46	
2745	2020/04/08 14:00	14.03	34.47	
2746	2020/04/08 13:00	13.92	34.5	
2747	2020/04/08 12:00	13.9	34.43	
2748	2020/04/08 11:00	13.9	34.46	
2749	2020/04/08 10:00	13.9	34.44	
2750	2020/04/08 09:00	13.96	34.41	
2751	2020/04/08 08:00	13.94	34.46	
2752	2020/04/08 07:00	13.9	34.5	
2753	2020/04/08 06:00	13.91	34.49	
2754	2020/04/08 05:00	14	34.43	
2755	2020/04/08 04:00	14.01	34.49	
2756	2020/04/08 03:00	14.09	34.42	
2757	2020/04/08 02:00	13.98	34.48	
2758	2020/04/08 01:00	13.9	34.5	
2759	2020/04/08 00:00	13.98	34.5	
2760	2020/04/07 23:00	14.03	34.5	
2761	2020/04/07 22:00	14.1	34.51	
2762	2020/04/07 21:00	14.18	34.44	
2763	2020/04/07 20:00	14.2	34.42	
2764	2020/04/07 19:00	14.2	34.42	
2765	2020/04/07 18:00	14.21	34.46	
2766	2020/04/07 17:00	14.2	34.42	
2767	2020/04/07 16:00	14.16	34.45	
2768	2020/04/07 15:00	14.1	34.51	
2769	2020/04/07 14:00	14.1	34.51	
2770	2020/04/07 13:00	14.03	34.53	
2771	2020/04/07 12:00	13.93	34.51	
2772	2020/04/07 11:00	13.9	34.5	
2773	2020/04/07 10:00	13.9	34.5	
2774	2020/04/07 09:00	13.92	34.45	
2775	2020/04/07 08:00	14	34.38	
2776	2020/04/07 07:00	14	34.41	
2777	2020/04/07 06:00	13.94	34.47	
2778	2020/04/07 05:00	13.96	34.45	
2779	2020/04/07 04:00	14	34.41	
2780	2020/04/07 03:00	14.01	34.46	
2781	2020/04/07 02:00	14.01	34.49	
2782	2020/04/07 01:00	14	34.42	
2783	2020/04/07 00:00	14.01	34.48	
2784	2020/04/06 23:00	14.09	34.43	
2785	2020/04/06 22:00	14.1	34.51	
2786	2020/04/06 21:00	14.1	34.5	
2787	2020/04/06 20:00	14.1	34.41	
2788	2020/04/06 19:00	14.1	34.4	
2789	2020/04/06 18:00	14.1	34.5	
2790	2020/04/06 17:00	14.1	34.48	
2791	2020/04/06 16:00	14.1	34.41	
2792	2020/04/06 15:00	14.09	34.34	
2793	2020/04/06 14:00	14	34.41	
2794	2020/04/06 13:00	14	34.42	
2795	2020/04/06 12:00	13.91	34.46	
2796	2020/04/06 11:00	13.89	34.42	
2797	2020/04/06 10:00	13.82	34.49	
2798	2020/04/06 09:00	13.8	34.5	
2799	2020/04/06 08:00	13.85	34.38	
2800	2020/04/06 07:00	13.9	34.38	
2801	2020/04/06 06:00	13.87	34.42	
2802	2020/04/06 05:00	13.81	34.43	
2803	2020/04/06 04:00	13.9	34.41	
2804	2020/04/06 03:00	13.9	34.41	
2805	2020/04/06 02:00	13.91	34.4	
2806	2020/04/06 01:00	13.91	34.4	
2807	2020/04/06 00:00	13.9	34.35	
2808	2020/04/05 23:00	13.9	34.36	
2809	2020/04/05 22:00	13.92	34.39	
2810	2020/04/05 21:00	14	34.32	
2811	2020/04/05 20:00	14.1	34.31	
2812	2020/04/05 19:00	14.1	34.32	
2813	2020/04/05 18:00	14.1	34.32	
2814	2020/04/05 17:00	14.09	34.33	
2815	2020/04/05 16:00	14.02	34.35	
2816	2020/04/05 15:00	14	34.32	
2817	2020/04/05 14:00	13.93	34.38	
2818	2020/04/05 13:00	13.9	34.41	
2819	2020/04/05 12:00	13.88	34.41	
2820	2020/04/05 11:00	13.79	34.39	
2821	2020/04/05 10:00	13.7	34.4	
2822	2020/04/05 09:00	13.73	34.38	
2823	2020/04/05 08:00	13.84	34.36	
2824	2020/04/05 07:00	13.9	34.32	
2825	2020/04/05 06:00	13.9	34.4	
2826	2020/04/05 05:00	13.8	34.4	
2827	2020/04/05 04:00	13.88	34.35	
2828	2020/04/05 03:00	13.9	34.41	
2829	2020/04/05 02:00	13.94	34.38	
2830	2020/04/05 01:00	14	34.32	
2831	2020/04/05 00:00	14	34.32	
2832	2020/04/04 23:00	14	34.32	
2833	2020/04/04 22:00	14.05	34.28	
2834	2020/04/04 21:00	14.01	34.31	
2835	2020/04/04 20:00	14.08	34.29	
2836	2020/04/04 19:00	14.1	34.32	
2837	2020/04/04 18:00	14.1	34.32	
2838	2020/04/04 17:00	14.1	34.32	
2839	2020/04/04 16:00	14.1	34.32	
2840	2020/04/04 15:00	14.05	34.32	
2841	2020/04/04 14:00	14	34.32	
2842	2020/04/04 13:00	14	34.32	
2843	2020/04/04 12:00	13.98	34.34	
2844	2020/04/04 11:00	13.9	34.41	
2845	2020/04/04 10:00	13.9	34.38	
2846	2020/04/04 09:00	13.87	34.34	
2847	2020/04/04 08:00	13.8	34.33	
2848	2020/04/04 07:00	13.83	34.35	
2849	2020/04/04 06:00	13.82	34.36	
2850	2020/04/04 05:00	13.8	34.4	
2851	2020/04/04 04:00	13.81	34.39	
2852	2020/04/04 03:00	13.9	34.37	
2853	2020/04/04 02:00	13.9	34.41	
2854	2020/04/04 01:00	13.94	34.38	
2855	2020/04/04 00:00	14	34.32	
2856	2020/04/03 23:00	14	34.32	
2857	2020/04/03 22:00	14.1	34.23	
2858	2020/04/03 21:00	14.1	34.23	
2859	2020/04/03 20:00	14.1	34.23	
2860	2020/04/03 19:00	14.1	34.31	
2861	2020/04/03 18:00	14.1	34.32	
2862	2020/04/03 17:00	14.1	34.32	
2863	2020/04/03 16:00	14.03	34.35	
2864	2020/04/03 15:00	14	34.32	
2865	2020/04/03 14:00	13.92	34.39	
2866	2020/04/03 13:00	13.9	34.41	
2867	2020/04/03 12:00	13.9	34.41	
2868	2020/04/03 11:00	13.9	34.41	
2869	2020/04/03 10:00	13.86	34.41	
2870	2020/04/03 09:00	13.77	34.4	
2871	2020/04/03 08:00	13.7	34.4	
2872	2020/04/03 07:00	13.7	34.4	
2873	2020/04/03 06:00	13.7	34.4	
2874	2020/04/03 05:00	13.7	34.4	
2875	2020/04/03 04:00	13.7	34.4	
2876	2020/04/03 03:00	13.7	34.4	
2877	2020/04/03 02:00	13.73	34.39	
2878	2020/04/03 01:00	13.8	34.4	
2879	2020/04/03 00:00	13.89	34.39	
2880	2020/04/02 23:00	13.9	34.41	
2881	2020/04/02 22:00	13.9	34.41	
2882	2020/04/02 21:00	13.9	34.41	
2883	2020/04/02 20:00	13.9	34.41	
2884	2020/04/02 19:00	13.96	34.36	
2885	2020/04/02 18:00	14	34.33	
2886	2020/04/02 17:00	14	34.41	
2887	2020/04/02 16:00	14	34.41	
2888	2020/04/02 15:00	13.93	34.39	
2889	2020/04/02 14:00	13.87	34.44	
2890	2020/04/02 13:00	13.77	34.43	
2891	2020/04/02 12:00	13.65	34.36	
2892	2020/04/02 11:00	13.6	34.3	
2893	2020/04/02 10:00	13.6	34.3	
2894	2020/04/02 09:00	13.54	34.33	
2895	2020/04/02 08:00	13.5	34.36	
2896	2020/04/02 07:00	13.6	34.3	
2897	2020/04/02 06:00	13.6	34.35	
2898	2020/04/02 05:00	13.65	34.35	
2899	2020/04/02 04:00	13.7	34.3	
2900	2020/04/02 03:00	13.7	34.3	
2901	2020/04/02 02:00	13.7	34.3	
2902	2020/04/02 01:00	13.7	34.31	
2903	2020/04/02 00:00	13.73	34.35	
2904	2020/04/01 23:00	13.8	34.31	
2905	2020/04/01 22:00	13.8	34.32	
2906	2020/04/01 21:00	13.82	34.37	
2907	2020/04/01 20:00	13.9	34.31	
2908	2020/04/01 19:00	13.9	34.31	
2909	2020/04/01 18:00	13.9	34.31	
2910	2020/04/01 17:00	13.9	34.31	
2911	2020/04/01 16:00	13.9	34.31	
2912	2020/04/01 15:00	13.8	34.31	
2913	2020/04/01 14:00	13.75	34.36	
2914	2020/04/01 13:00	13.7	34.34	
2915	2020/04/01 12:00	13.7	34.3	
2916	2020/04/01 11:00	13.7	34.3	
2917	2020/04/01 10:00	13.61	34.35	
2918	2020/04/01 09:00	13.6	34.32	
2919	2020/04/01 08:00	13.6	34.36	
2920	2020/04/01 07:00	13.6	34.39	
2921	2020/04/01 06:00	13.62	34.38	
2922	2020/04/01 05:00	13.7	34.3	
2923	2020/04/01 04:00	13.7	34.3	
2924	2020/04/01 03:00	13.71	34.31	
2925	2020/04/01 02:00	13.8	34.31	
2926	2020/04/01 01:00	13.8	34.31	
2927	2020/04/01 00:00	13.8	34.31	
2928	2020/03/31 23:00	13.8	34.31	
2929	2020/03/31 22:00	13.88	34.27	
2930	2020/03/31 21:00	13.9	34.31	
2931	2020/03/31 20:00	13.9	34.31	
2932	2020/03/31 19:00	13.89	34.32	
2933	2020/03/31 18:00	13.8	34.4	
2934	2020/03/31 17:00	13.71	34.4	
2935	2020/03/31 16:00	13.7	34.4	
2936	2020/03/31 15:00	13.7	34.39	
2937	2020/03/31 14:00	13.7	34.31	
2938	2020/03/31 13:00	13.61	34.38	
2939	2020/03/31 12:00	13.6	34.39	
2940	2020/03/31 11:00	13.52	34.38	
2941	2020/03/31 10:00	13.48	34.32	
2942	2020/03/31 09:00	13.39	34.33	
2943	2020/03/31 08:00	13.3	34.38	
2944	2020/03/31 07:00	13.31	34.37	
2945	2020/03/31 06:00	13.4	34.29	
2946	2020/03/31 05:00	13.4	34.29	
2947	2020/03/31 04:00	13.4	34.29	
2948	2020/03/31 03:00	13.4	34.29	
2949	2020/03/31 02:00	13.48	34.29	
2950	2020/03/31 01:00	13.5	34.3	
2951	2020/03/31 00:00	13.5	34.3	
2952	2020/03/30 23:00	13.5	34.37	
2953	2020/03/30 22:00	13.6	34.3	
2954	2020/03/30 21:00	13.6	34.3	
2955	2020/03/30 20:00	13.6	34.3	
2956	2020/03/30 19:00	13.59	34.31	
2957	2020/03/30 18:00	13.52	34.32	
2958	2020/03/30 17:00	13.5	34.24	
2959	2020/03/30 16:00	13.47	34.25	
2960	2020/03/30 15:00	13.4	34.29	
2961	2020/03/30 14:00	13.4	34.29	
2962	2020/03/30 13:00	13.33	34.33	
2963	2020/03/30 12:00	13.25	34.33	
2964	2020/03/30 11:00	13.2	34.29	
2965	2020/03/30 10:00	13.2	34.28	
2966	2020/03/30 09:00	13.25	34.29	
2967	2020/03/30 08:00	13.27	34.32	
2968	2020/03/30 07:00	13.23	34.36	
2969	2020/03/30 06:00	13.2	34.33	
2970	2020/03/30 05:00	13.2	34.28	
2971	2020/03/30 04:00	13.22	34.26	
2972	2020/03/30 03:00	13.3	34.19	
2973	2020/03/30 02:00	13.3	34.19	
2974	2020/03/30 01:00	13.3	34.19	
2975	2020/03/30 00:00	13.3	34.22	
2976	2020/03/29 23:00	13.3	34.29	
2977	2020/03/29 22:00	13.3	34.29	
2978	2020/03/29 21:00	13.35	34.25	
2979	2020/03/29 20:00	13.4	34.2	
2980	2020/03/29 19:00	13.4	34.2	
2981	2020/03/29 18:00	13.4	34.2	
2982	2020/03/29 17:00	13.38	34.28	
2983	2020/03/29 16:00	13.33	34.29	
2984	2020/03/29 15:00	13.3	34.29	
2985	2020/03/29 14:00	13.3	34.29	
2986	2020/03/29 13:00	13.3	34.29	
2987	2020/03/29 12:00	13.3	34.25	
2988	2020/03/29 11:00	13.27	34.22	
2989	2020/03/29 10:00	13.2	34.28	
2990	2020/03/29 09:00	13.2	34.28	
2991	2020/03/29 08:00	13.2	34.25	
2992	2020/03/29 07:00	13.2	34.27	
2993	2020/03/29 06:00	13.2	34.29	
2994	2020/03/29 05:00	13.2	34.22	
2995	2020/03/29 04:00	13.2	34.28	
2996	2020/03/29 03:00	13.26	34.22	
2997	2020/03/29 02:00	13.3	34.19	
2998	2020/03/29 01:00	13.3	34.19	
2999	2020/03/29 00:00	13.39	34.11	
3000	2020/03/28 23:00	13.4	34.1	
3001	2020/03/28 22:00	13.4	34.1	
3002	2020/03/28 21:00	13.4	34.1	
3003	2020/03/28 20:00	13.4	34.1	
3004	2020/03/28 19:00	13.4	34.16	
3005	2020/03/28 18:00	13.4	34.2	
3006	2020/03/28 17:00	13.44	34.21	
3007	2020/03/28 16:00	13.4	34.29	
3008	2020/03/28 15:00	13.4	34.29	
3009	2020/03/28 14:00	13.4	34.29	
3010	2020/03/28 13:00	13.49	34.21	
3011	2020/03/28 12:00	13.5	34.2	
3012	2020/03/28 11:00	13.5	34.11	
3013	2020/03/28 10:00	13.5	34.11	
3014	2020/03/28 09:00	13.5	34.11	
3015	2020/03/28 08:00	13.5	34.17	
3016	2020/03/28 07:00	13.5	34.12	
3017	2020/03/28 06:00	13.5	34.11	
3018	2020/03/28 05:00	13.5	34.19	
3019	2020/03/28 04:00	13.5	34.22	
3020	2020/03/28 03:00	13.5	34.24	
3021	2020/03/28 02:00	13.5	34.3	
3022	2020/03/28 01:00	13.5	34.3	
3023	2020/03/28 00:00	13.57	34.24	
3024	2020/03/27 23:00	13.6	34.21	
3025	2020/03/27 22:00	13.6	34.21	
3026	2020/03/27 21:00	13.6	34.21	
3027	2020/03/27 20:00	13.6	34.21	
3028	2020/03/27 19:00	13.6	34.21	
3029	2020/03/27 18:00	13.6	34.21	
3030	2020/03/27 17:00	13.6	34.21	
3031	2020/03/27 16:00	13.6	34.21	
3032	2020/03/27 15:00	13.6	34.28	
3033	2020/03/27 14:00	13.6	34.29	
3034	2020/03/27 13:00	13.6	34.21	
3035	2020/03/27 12:00	13.6	34.2	
3036	2020/03/27 11:00	13.6	34.11	
3037	2020/03/27 10:00	13.6	34.11	
3038	2020/03/27 09:00	13.6	34.17	
3039	2020/03/27 08:00	13.6	34.17	
3040	2020/03/27 07:00	13.6	34.03	
3041	2020/03/27 06:00	13.6	34.02	
3042	2020/03/27 05:00	13.6	34.02	
3043	2020/03/27 04:00	13.6	34.02	
3044	2020/03/27 03:00	13.6	34.02	
3045	2020/03/27 02:00	13.6	34.02	
3046	2020/03/27 01:00	13.6	34.02	
3047	2020/03/27 00:00	13.58	34.04	
3048	2020/03/26 23:00	13.6	33.98	
3049	2020/03/26 22:00	13.6	34.15	
3050	2020/03/26 21:00	13.6	34.22	
3051	2020/03/26 20:00	13.6	34.39	
3052	2020/03/26 19:00	13.6	34.39	
3053	2020/03/26 18:00	13.6	34.39	
3054	2020/03/26 17:00	13.6	34.39	
3055	2020/03/26 16:00	13.54	34.41	
3056	2020/03/26 15:00	13.5	34.39	
3057	2020/03/26 14:00	13.5	34.39	
3058	2020/03/26 13:00	13.5	34.39	
3059	2020/03/26 12:00	13.5	34.39	
3060	2020/03/26 11:00	13.5	34.39	
3061	2020/03/26 10:00	13.59	34.31	
3062	2020/03/26 09:00	13.54	34.39	
3063	2020/03/26 08:00	13.5	34.39	
3064	2020/03/26 07:00	13.5	34.39	
3065	2020/03/26 06:00	13.5	34.39	
3066	2020/03/26 05:00	13.59	34.33	
3067	2020/03/26 04:00	13.56	34.36	
3068	2020/03/26 03:00	13.5	34.39	
3069	2020/03/26 02:00	13.5	34.39	
3070	2020/03/26 01:00	13.58	34.33	
3071	2020/03/26 00:00	13.6	34.39	
3072	2020/03/25 23:00	13.6	34.39	
3073	2020/03/25 22:00	13.6	34.36	
3074	2020/03/25 21:00	13.6	34.39	
3075	2020/03/25 20:00	13.6	34.39	
3076	2020/03/25 19:00	13.6	34.39	
3077	2020/03/25 18:00	13.6	34.39	
3078	2020/03/25 17:00	13.54	34.38	
3079	2020/03/25 16:00	13.52	34.39	
3080	2020/03/25 15:00	13.5	34.39	
3081	2020/03/25 14:00	13.41	34.44	
3082	2020/03/25 13:00	13.33	34.4	
3083	2020/03/25 12:00	13.3	34.38	
3084	2020/03/25 11:00	13.3	34.38	
3085	2020/03/25 10:00	13.3	34.38	
3086	2020/03/25 09:00	13.29	34.39	
3087	2020/03/25 08:00	13.2	34.44	
3088	2020/03/25 07:00	13.2	34.39	
3089	2020/03/25 06:00	13.2	34.42	
3090	2020/03/25 05:00	13.22	34.45	
3091	2020/03/25 04:00	13.28	34.4	
3092	2020/03/25 03:00	13.2	34.42	
3093	2020/03/25 02:00	13.2	34.38	
3094	2020/03/25 01:00	13.2	34.38	
3095	2020/03/25 00:00	13.23	34.42	
3096	2020/03/24 23:00	13.3	34.38	
3097	2020/03/24 22:00	13.39	34.3	
3098	2020/03/24 21:00	13.4	34.36	
3099	2020/03/24 20:00	13.4	34.39	
3100	2020/03/24 19:00	13.4	34.39	
3101	2020/03/24 18:00	13.4	34.39	
3102	2020/03/24 17:00	13.4	34.39	
3103	2020/03/24 16:00	13.4	34.39	
3104	2020/03/24 15:00	13.4	34.39	
3105	2020/03/24 14:00	13.33	34.4	
3106	2020/03/24 13:00	13.27	34.41	
3107	2020/03/24 12:00	13.21	34.46	
3108	2020/03/24 11:00	13.2	34.47	
3109	2020/03/24 10:00	13.2	34.42	
3110	2020/03/24 09:00	13.2	34.38	
3111	2020/03/24 08:00	13.2	34.38	
3112	2020/03/24 07:00	13.2	34.38	
3113	2020/03/24 06:00	13.2	34.38	
3114	2020/03/24 05:00	13.2	34.38	
3115	2020/03/24 04:00	13.2	34.46	
3116	2020/03/24 03:00	13.23	34.45	
3117	2020/03/24 02:00	13.2	34.46	
3118	2020/03/24 01:00	13.24	34.43	
3119	2020/03/24 00:00	13.3	34.38	
3120	2020/03/23 23:00	13.31	34.37	
3121	2020/03/23 22:00	13.39	34.3	
3122	2020/03/23 21:00	13.4	34.34	
3123	2020/03/23 20:00	13.4	34.37	
3124	2020/03/23 19:00	13.4	34.38	
3125	2020/03/23 18:00	13.4	34.39	
3126	2020/03/23 17:00	13.4	34.39	
3127	2020/03/23 16:00	13.4	34.33	
3128	2020/03/23 15:00	13.4	34.34	
3129	2020/03/23 14:00	13.37	34.39	
3130	2020/03/23 13:00	13.28	34.4	
3131	2020/03/23 12:00	13.2	34.43	
3132	2020/03/23 11:00	13.2	34.38	
3133	2020/03/23 10:00	13.2	34.38	
3134	2020/03/23 09:00	13.2	34.34	
3135	2020/03/23 08:00	13.2	34.36	
3136	2020/03/23 07:00	13.19	34.38	
3137	2020/03/23 06:00	13.15	34.38	
3138	2020/03/23 05:00	13.2	34.38	
3139	2020/03/23 04:00	13.2	34.38	
3140	2020/03/23 03:00	13.2	34.38	
3141	2020/03/23 02:00	13.2	34.38	
3142	2020/03/23 01:00	13.2	34.38	
3143	2020/03/23 00:00	13.2	34.38	
3144	2020/03/22 23:00	13.22	34.38	
3145	2020/03/22 22:00	13.3	34.38	
3146	2020/03/22 21:00	13.39	34.3	
3147	2020/03/22 20:00	13.4	34.29	
3148	2020/03/22 19:00	13.34	34.34	
3149	2020/03/22 18:00	13.3	34.38	
3150	2020/03/22 17:00	13.33	34.36	
3151	2020/03/22 16:00	13.3	34.38	
3152	2020/03/22 15:00	13.3	34.38	
3153	2020/03/22 14:00	13.25	34.42	
3154	2020/03/22 13:00	13.2	34.44	
3155	2020/03/22 12:00	13.2	34.38	
3156	2020/03/22 11:00	13.12	34.38	
3157	2020/03/22 10:00	13.1	34.37	
3158	2020/03/22 09:00	13.1	34.37	
3159	2020/03/22 08:00	13.1	34.37	
3160	2020/03/22 07:00	13.1	34.37	
3161	2020/03/22 06:00	13.11	34.36	
3162	2020/03/22 05:00	13.2	34.28	
3163	2020/03/22 04:00	13.2	34.28	
3164	2020/03/22 03:00	13.2	34.28	
3165	2020/03/22 02:00	13.2	34.28	
3166	2020/03/22 01:00	13.2	34.28	
3167	2020/03/22 00:00	13.2	34.28	
3168	2020/03/21 23:00	13.2	34.28	
3169	2020/03/21 22:00	13.2	34.28	
3170	2020/03/21 21:00	13.2	34.28	
3171	2020/03/21 20:00	13.2	34.28	
3172	2020/03/21 19:00	13.2	34.28	
3173	2020/03/21 18:00	13.18	34.38	
3174	2020/03/21 17:00	13.1	34.37	
3175	2020/03/21 16:00	13.1	34.37	
3176	2020/03/21 15:00	13.1	34.37	
3177	2020/03/21 14:00	13.1	34.37	
3178	2020/03/21 13:00	13.08	34.39	
3179	2020/03/21 12:00	12.96	34.43	
3180	2020/03/21 11:00	12.9	34.38	
3181	2020/03/21 10:00	12.9	34.36	
3182	2020/03/21 09:00	12.9	34.36	
3183	2020/03/21 08:00	12.9	34.36	
3184	2020/03/21 07:00	12.9	34.36	
3185	2020/03/21 06:00	12.9	34.36	
3186	2020/03/21 05:00	12.9	34.36	
3187	2020/03/21 04:00	12.9	34.36	
3188	2020/03/21 03:00	12.98	34.29	
3189	2020/03/21 02:00	13	34.28	
3190	2020/03/21 01:00	13	34.37	
3191	2020/03/21 00:00	13	34.37	
3192	2020/03/20 23:00	13.03	34.37	
3193	2020/03/20 22:00	13.1	34.37	
3194	2020/03/20 21:00	13.1	34.37	
3195	2020/03/20 20:00	13.09	34.37	
3196	2020/03/20 19:00	13.1	34.37	
3197	2020/03/20 18:00	13.1	34.37	
3198	2020/03/20 17:00	13.1	34.37	
3199	2020/03/20 16:00	13.1	34.37	
3200	2020/03/20 15:00	13.1	34.37	
3201	2020/03/20 14:00	13.04	34.42	
3202	2020/03/20 13:00	13	34.37	
3203	2020/03/20 12:00	13	34.28	
3204	2020/03/20 11:00	13	34.31	
3205	2020/03/20 10:00	13	34.3	
3206	2020/03/20 09:00	13	34.27	
3207	2020/03/20 08:00	13	34.27	
3208	2020/03/20 07:00	12.91	34.35	
3209	2020/03/20 06:00	12.94	34.33	
3210	2020/03/20 05:00	13	34.37	
3211	2020/03/20 04:00	13.02	34.4	
3212	2020/03/20 03:00	13.1	34.37	
3213	2020/03/20 02:00	13.17	34.3	
3214	2020/03/20 01:00	13.2	34.34	
3215	2020/03/20 00:00	13.29	34.34	
3216	2020/03/19 23:00	13.39	34.3	
3217	2020/03/19 22:00	13.4	34.29	
3218	2020/03/19 21:00	13.46	34.33	
3219	2020/03/19 20:00	13.5	34.3	
3220	2020/03/19 19:00	13.5	34.35	
3221	2020/03/19 18:00	13.56	34.34	
3222	2020/03/19 17:00	13.6	34.34	
3223	2020/03/19 16:00	13.6	34.31	
3224	2020/03/19 15:00	13.58	34.32	
3225	2020/03/19 14:00	13.5	34.36	
3226	2020/03/19 13:00	13.41	34.33	
3227	2020/03/19 12:00	13.34	34.35	
3228	2020/03/19 11:00	13.23	34.38	
3229	2020/03/19 10:00	13.1	34.37	
3230	2020/03/19 09:00	13.11	34.37	
3231	2020/03/19 08:00	13.03	34.43	
3232	2020/03/19 07:00	13	34.38	
3233	2020/03/19 06:00	13	34.37	
3234	2020/03/19 05:00	13	34.37	
3235	2020/03/19 04:00	13	34.43	
3236	2020/03/19 03:00	13	34.46	
3237	2020/03/19 02:00	13.04	34.43	
3238	2020/03/19 01:00	13.1	34.37	
3239	2020/03/19 00:00	13.15	34.34	
3240	2020/03/18 23:00	13.2	34.38	
3241	2020/03/18 22:00	13.2	34.38	
3242	2020/03/18 21:00	13.2	34.4	
3243	2020/03/18 20:00	13.2	34.46	
3244	2020/03/18 19:00	13.2	34.47	
3245	2020/03/18 18:00	13.2	34.47	
3246	2020/03/18 17:00	13.2	34.45	
3247	2020/03/18 16:00	13.1	34.47	
3248	2020/03/18 15:00	13.1	34.47	
3249	2020/03/18 14:00	13.1	34.47	
3250	2020/03/18 13:00	13.1	34.47	
3251	2020/03/18 12:00	13.05	34.51	
3252	2020/03/18 11:00	13	34.46	
3253	2020/03/18 10:00	12.94	34.52	
3254	2020/03/18 09:00	12.9	34.46	
3255	2020/03/18 08:00	12.88	34.39	
3256	2020/03/18 07:00	12.9	34.37	
3257	2020/03/18 06:00	12.9	34.44	
3258	2020/03/18 05:00	12.9	34.46	
3259	2020/03/18 04:00	12.9	34.44	
3260	2020/03/18 03:00	12.9	34.46	
3261	2020/03/18 02:00	12.9	34.46	
3262	2020/03/18 01:00	12.9	34.51	
3263	2020/03/18 00:00	12.9	34.53	
3264	2020/03/17 23:00	13	34.46	
3265	2020/03/17 22:00	13	34.46	
3266	2020/03/17 21:00	13.09	34.42	
3267	2020/03/17 20:00	13.2	34.44	
3268	2020/03/17 19:00	13.2	34.47	
3269	2020/03/17 18:00	13.2	34.47	
3270	2020/03/17 17:00	13.2	34.47	
3271	2020/03/17 16:00	13.2	34.47	
3272	2020/03/17 15:00	13.2	34.47	
3273	2020/03/17 14:00	13.05	34.48	
3274	2020/03/17 13:00	12.84	34.46	
3275	2020/03/17 12:00	12.72	34.44	
3276	2020/03/17 11:00	12.7	34.45	
3277	2020/03/17 10:00	12.7	34.43	
3278	2020/03/17 09:00	12.63	34.42	
3279	2020/03/17 08:00	12.69	34.37	
3280	2020/03/17 07:00	12.7	34.43	
3281	2020/03/17 06:00	12.7	34.45	
3282	2020/03/17 05:00	12.7	34.45	
3283	2020/03/17 04:00	12.7	34.45	
3284	2020/03/17 03:00	12.7	34.45	
3285	2020/03/17 02:00	12.7	34.45	
3286	2020/03/17 01:00	12.75	34.44	
3287	2020/03/17 00:00	12.8	34.46	
3288	2020/03/16 23:00	12.82	34.44	
3289	2020/03/16 22:00	12.85	34.41	
3290	2020/03/16 21:00	12.9	34.37	
3291	2020/03/16 20:00	12.91	34.45	
3292	2020/03/16 19:00	13	34.45	
3293	2020/03/16 18:00	13	34.46	
3294	2020/03/16 17:00	13	34.46	
3295	2020/03/16 16:00	13	34.46	
3296	2020/03/16 15:00	12.98	34.45	
3297	2020/03/16 14:00	12.92	34.48	
3298	2020/03/16 13:00	12.9	34.52	
3299	2020/03/16 12:00	12.83	34.46	
3300	2020/03/16 11:00	12.8	34.46	
3301	2020/03/16 10:00	12.7	34.54	
3302	2020/03/16 09:00	12.7	34.46	
3303	2020/03/16 08:00	12.64	34.5	
3304	2020/03/16 07:00	12.6	34.48	
3305	2020/03/16 06:00	12.67	34.45	
3306	2020/03/16 05:00	12.7	34.45	
3307	2020/03/16 04:00	12.8	34.38	
3308	2020/03/16 03:00	12.9	34.36	
3309	2020/03/16 02:00	12.9	34.4	
3310	2020/03/16 01:00	12.94	34.46	
3311	2020/03/16 00:00	12.94	34.5	
3312	2020/03/15 23:00	12.97	34.48	
3313	2020/03/15 22:00	13.03	34.43	
3314	2020/03/15 21:00	13.09	34.38	
3315	2020/03/15 20:00	13.1	34.37	
3316	2020/03/15 19:00	13.1	34.37	
3317	2020/03/15 18:00	13.11	34.36	
3318	2020/03/15 17:00	13.19	34.29	
3319	2020/03/15 16:00	13.2	34.31	
3320	2020/03/15 15:00	13.2	34.38	
3321	2020/03/15 14:00	13.2	34.38	
3322	2020/03/15 13:00	13.2	34.38	
3323	2020/03/15 12:00	13.18	34.38	
3324	2020/03/15 11:00	13.01	34.45	
3325	2020/03/15 10:00	13	34.45	
3326	2020/03/15 09:00	13	34.39	
3327	2020/03/15 08:00	13	34.38	
3328	2020/03/15 07:00	13	34.46	
3329	2020/03/15 06:00	13.08	34.39	
3330	2020/03/15 05:00	13.1	34.37	
3331	2020/03/15 04:00	13.2	34.28	
3332	2020/03/15 03:00	13.2	34.29	
3333	2020/03/15 02:00	13.2	34.38	
3334	2020/03/15 01:00	13.2	34.33	
